11,17,17,15,8,19,29,30,37,24,25,25,-19,27,68,17,9,491,13,17,24,35,2,-1,-53,20,52,221,47,76,0,7,369,566
12,16,16,13,9,14,13,19,41,27,26,-33,-86,45,56,10,1,472,8,10,18,33,9,21,35,-2,45,22,37,89,686,16,164,404
10,16,18,13,8,14,16,20,23,29,29,-12,-54,72,44,14,4,483,12,13,15,21,-13,-2,7,-3,39,100,35,134,0,16,254,108
9,15,15,13,7,15,18,14,16,27,30,8,-42,73,61,21,4,484,17,17,15,14,12,17,8,-4,37,99,30,143,0,14,0,123
11,16,17,13,9,23,21,23,23,25,24,40,-16,42,85,24,2,490,18,18,19,21,-1,50,41,4,54,230,48,86,0,6,413,372
11,16,16,12,8,20,23,26,31,23,25,70,6,43,106,19,1,493,15,17,21,26,-9,-9,-23,13,50,205,48,96,0,6,413,437
8,14,16,11,6,17,21,25,34,23,24,45,-3,37,158,16,8,499,11,13,16,21,-7,-10,-12,31,50,254,50,101,0,5,191,838
5,9,9,7,3,8,8,13,19,23,26,26,15,65,99,13,6,497,9,9,12,17,34,18,31,-4,43,167,34,151,0,13,0,99
10,15,16,13,6,13,14,21,38,26,24,-15,-94,16,53,12,2,480,10,12,19,28,11,26,24,3,54,127,43,68,0,12,369,494
6,12,13,10,4,9,11,11,15,28,27,-21,-98,33,55,8,2,475,7,8,11,15,21,47,28,3,54,153,43,56,0,7,221,439
6,11,11,9,4,7,9,4,10,9,4,26,-46,73,58,11,2,485,7,6,4,7,18,16,24,5,46,-16,31,88,0,10,0,230
10,16,16,14,8,16,17,21,27,24,25,70,24,69,108,15,9,501,12,14,18,27,11,12,40,7,47,124,43,102,0,12,0,246
8,18,18,12,5,10,11,17,38,25,23,31,-30,36,80,13,3,490,9,10,17,28,5,26,27,9,54,111,46,78,0,12,221,506
